id,industrial_park,developer,region,market,submarket,currency,cam_building_sf,cam_land_sf,has_cam_services,has_lightning_maintenanc,has_park_administration,storm_sewer_maintenance,has_survelliance,has_management_fee,latitude,longitude
39,Vynmsa Miguel Aleman,Vynmsa,NORTHEAST,MONTERREY,Apodaca,'USD',0.0145,0,1,1,1,0,1,0,25.748618,-100.221103
40,Pesqueria Technology Park,Vynmsa,NORTHEAST,MONTERREY,Apodaca,'USD',0.0145,0,1,1,1,0,1,0,25.826028,-100.043134
41,Monterrey Technology Park,Vynmsa,NORTHEAST,MONTERREY,Cienega de Flores,'USD',0.0145,0,1,1,1,0,1,0,25.896868,-100.233209
42,Vynmsa Escobedo,Vynmsa,NORTHEAST,MONTERREY,Escobedo,'USD',0.0145,0,1,1,1,0,1,0,25.822539,-100.323987
43,La Silla Guadalupe,Vynmsa,NORTHEAST,MONTERREY,Guadalupe,'USD',0.0145,0,1,1,1,0,1,0,25.656104,-100.178021
44,Acueducto,Vynmsa,NORTHEAST,MONTERREY,Guadalupe,'USD',0.0145,0,1,1,1,0,1,0,25.644633,-100.182104
45,Vynmsa Santa Catarina,Vynmsa,NORTHEAST,MONTERREY,Santa Catarina,'USD',0.0145,0,1,1,1,0,1,0,25.726398,-100.519482
46,La Silla Apodaca,IGS,NORTHEAST,MONTERREY,Apodaca,'USD',0.027,0,0,0,0,0,0,0,25.752788,-100.139556
47,Kronos,Emblem Capital,NORTHEAST,MONTERREY,Apodaca,'USD',0.0234,0,1,1,1,1,1,1,25.776653,-100.163049
48,Stiva Apodaca,Stiva,NORTHEAST,MONTERREY,Apodaca,'USD',0,0.065,1,1,1,1,1,0,25.771911,-100.147992
49,Stiva Barragan,Stiva,NORTHEAST,MONTERREY,Escobedo,'USD',0,0.065,1,1,1,1,1,0,25.756977,-100.309865
50,Stiva Santa Catarina,Stiva,NORTHEAST,MONTERREY,Santa Catarina,'USD',0,0.065,0,0,0,0,0,0,25.709431,-100.514788
51,Prologis Park Apodaca,Prologis,NORTHEAST,MONTERREY,Apodaca,'USD',0.0306,0,1,1,1,1,1,1,25.784066,-100.1737
52,Prologis Agua Fria,Prologis,NORTHEAST,MONTERREY,Apodaca,'USD',0.0306,0,1,1,1,1,1,1,25.790748,-100.156357
53,Monterrey Industrial Center,Prologis,NORTHEAST,MONTERREY,Apodaca,'USD',0.0306,0,1,1,1,1,1,1,25.764708,-100.166844
54,La Silla Apodaca,RMSG,NORTHEAST,MONTERREY,Apodaca,'USD',0.027,0,1,1,1,1,1,0,25.753266,-100.141314
55,Sabinal,Savy Capital,NORTHEAST,MONTERREY,Apodaca,'USD',0.0135,0,1,1,1,1,1,0,25.75817,-100.176967
56,Apodaca Technology Park,CPA,NORTHEAST,MONTERREY,Apodaca,'USD',0.12,0,1,1,1,1,1,0,25.793435,-100.166158
57,CPA ADN,CPA,NORTHEAST,MONTERREY,Cienega de Flores,'USD',0.12,0,1,1,1,1,1,0,25.87949,-100.235542
58,Santa Maria,Davisa,NORTHEAST,SALTILLO,Ramos Arizpe,'USD',0.16,0,1,1,1,1,1,0,25.58096,-100.91132
59,Server,Entercon,NORTHEAST,SALTILLO,Arteaga,'USD',0.12,0,1,1,1,1,1,0,25.478816,-100.901281
60,Server,Rochester,NORTHEAST,SALTILLO,Arteaga,'USD',0.11,0,1,1,1,1,1,0,25.477318,-100.893724
61,Santa Monica,Davisa,NORTHEAST,SALTILLO,Derramadero,'USD',0.16,0,1,1,1,1,1,0,25.260416,-101.100708
62,Vynmsa Ramos Arizpe,Vynmsa,NORTHEAST,SALTILLO,Ramos Arizpe,'USD',0.0145,0,1,1,1,0,1,0,25.51592,-100.996692
63,Mendel Arteaga,Mendel,NORTHEAST,SALTILLO,Arteaga,'USD',0,0,0,0,0,0,0,0,25.439765,-100.906079
64,Bafar Tecnologico,Bafar,NORTHCENTRAL,CHIHUAHUA,East,'USD',0,0,0,0,0,0,0,0,28.583874,-106.124986
65,WTC,WTC,BAJIO,SAN LUIS POTOSI,WTC,'USD',0.006,0,1,1,1,1,1,0,22.025998,-100.891911
66,Logistik,Vynmsa,BAJIO,SAN LUIS POTOSI,Logistik,'USD',0.006,0,1,1,0,1,1,0,21.985251,-100.854624
67,Las Colinas,Lintel,BAJIO,SAN LUIS POTOSI,Las Colinas,'USD',0.006,0,1,1,1,1,1,0,22.124973,-100.818429
68,Milenium,RMSG,BAJIO,SAN LUIS POTOSI,Milenium,'USD',0.006,0,1,1,0,1,1,0,22.057041,-100.87556
69,Tres Naciones,Vesta,BAJIO,SAN LUIS POTOSI,Tres Naciones,'USD',0.006,0,1,1,0,1,1,0,22.052603,-100.867402
70,CPA Business Center Tijuana,CPA,NORTHWEST,TIJUANA,Florido,'USD',0.04,0,1,1,1,1,1,0,32.494305,-116.846131
71,Pacifico Industrial Park,Prologis,NORTHWEST,TIJUANA,Libramiento,'USD',0.0306,0,1,1,1,1,1,1,32.474722,-116.991809
72,CPA SMO,CPA,CENTRAL,MEXICO CITY,Cuautitlan,,0.12,0,1,1,1,1,1,0,19.607946,-99.213119
73,Prologis El Grande,Prologis,CENTRAL,MEXICO CITY,Tepotzotlan,'USD',0.0353,0,1,1,1,1,1,1,19.741647,-99.222466
74,Prologis Park Laurel,Prologis,CENTRAL,MEXICO CITY,,'USD',0.0353,0,1,1,1,1,1,1,,
75,Prologis Park Toluca,Prologis,CENTRAL,TOLUCA,Toluca,'USD',0.0353,0,1,1,1,1,1,1,19.294878,-99.546298
76,Prologis Park Izcalli,Prologis,CENTRAL,MEXICO CITY,,'USD',0.0353,0,1,1,1,1,1,1,,
77,Oradel Industrial Center,Oradel,NORTHEAST,NUEVO LAREDO,East,'USD',0.263,0,1,1,1,1,1,0,27.474275,-99.627789
