"name","market_id","sub_market_id"
"Tultipark III",3,22
"Prologis El Grande",3,18
"Thomas Alva Edison",13,64
"Diamante Cienega de Flores",5,26
"Prologis Arrayanes",10,48
"Colinas Lagos de Moreno",1,3
"San Martin Obispo Park II",3,13
"Tlaquepark IV",3,13
"Montyerrey Industrial Park",5,25
"Colinas Leon",1,4
"CPA ADN",5,26
"Centro Industrial Juarez",11,56
"Intermex Oriente",11,56
"Rmz El Florido",13,64
"Prologis Independencia",11,56
ATP,5,25
"La Encantada",13,64
"El Peral Logitic Park",3,13
"Kalos Guadalupe Aeropuerto",5,28
"Reynosa Industrial Park North",14,73
"Finsa Saucito",6,32
"Prologis Agave",3,13
"Nexxus Escobedo",5,27
"Cerritos Industrial Park",8,41
"Juan Gabriel Industrial Area",11,52
"Tepozotlan I",3,18
"San Francisco III",16,77
"Tepotzotlan I",3,18
"Tultipark I",3,22
"AI Apodaca",5,25
"Rio Bravo II",11,53
"Finsa Tijuana",13,68
"Finsa Oriente",14,73
Valdepe?as,10,51
"Tultitlan Park",3,22
"Martel Apodaca",5,25
"Finsa Alamar",13,68
"Las Ventanas",4,24
Propark,5,25
"Prologis Park El Salto",10,48
"CPA Logistic Center San Martin Obispo",3,13
"Prologis Encino",3,13
"ADN II Industrial Park",5,26
"Santa Fe IV",1,6
"Stiva Santa Catarina",5,31
"Odonnell Logistics Center",3,13
Cuautipark,3,13
"Asia Pacific Park",5,25
"Valle Bonito Industrial Park",13,64
"Los Bravos Industrial Park",11,56
"Privada Industrial Sabinal",5,25
"360 Industrial Park",8,40
"Aero Park",5,25
"Vynmsa Guanajuato",1,2
"GP Escobedo",5,27
Acueducto,5,28
"Kalos Huinala",5,25
"Baja Maq El Aguila",13,62
Florido,13,64
VAAIP,5,25
Gema,11,52
Sabinal,5,25
"Vesta Tlaxcala",7,37
"Prologis Park El Bosque",10,50
"Zaragoza Industria Area",11,56
"Vesta La Mesa",13,66
Kronos,5,25
"Prologis Periferico Sur",10,50
"Prologis Cedros",3,18
"Advance Queretaro",2,7
"Salvacar Industrial Park",11,56
Huinala,5,25
"Los Aztecas Industrial Park",11,52
"Avante Guadalupe",5,28
"Milenium Centar Park",5,25
"Montenegro Industrial Park",10,48
"Megapark Tepotzotlan",3,18
Tepozpark,3,18
"Colinas del Rincon",1,4
"Oradel Industrial Park",15,76
"Pino Industrial",8,40
"Santa Monica",8,39
"Prologis Carrizal 2",3,18
"Nexxus ADN I",5,26
"CPA Business Center Tijuana",13,64
"Comonfort Industrial",1,1
"El Salto Guadalajara",10,48
"San Miguel Industrial Park",1,1
"Prologis Park Laurel",3,13
"Las Americas Industrial Park",5,26
"Matamoros Industrial Center",4,23
"Artega Industrial Park",8,38
"Villa Florida",14,74
"Blv Independencia",11,56
"Prologis Park Los Arrayanes",10,48
"Industrial Zone",7,34
"Adhoc Industrial Park",5,27
"El Colonial",14,73
PILBA,1,4
"Nexxus Santa Catarina",5,31
"Ave Henequen",11,56
"Tultipark IIII",3,22
"Aerospace Queretaro Park",2,7
"Monterrey Technology Park",5,26
"Derramadero Industrial Park",8,39
"FlexPark Apodaca",5,25
"Stiva San Fernando",14,71
"Vesta Park I",11,56
"San Jorge Industrial Park",10,48
"Las Americas Garcia",5,31
"El Florido",13,64
"Odonnell Cuatitlan",3,13
Insurgentes,13,68
"Aero Industrial Park",5,25
"AI Kimco Industrial Park",6,32
"Las Colinas Silao",1,6
"Prologis Tres Rios",3,13
"Avante Apodaca",5,25
Regiomontana,5,25
"Vesta Park La Mesa",13,66
"Odonnell Aeropuerto",2,7
Northgate,11,55
"AI San Fernando",14,71
"Baja Maq",13,62
"Pharr Bridge",14,73
"La Silla Guadalupe",5,28
Bralemex,7,34
Salvacar,11,56
"Independencia I",11,55
"Avia Santa Catarina",5,31
"Prologis Park Periferico Sur",10,50
"Las Americas Juarez",11,56
"Gema Industrial Park",11,52
"El Marques",2,8
Tulti3,3,22
Colonial,14,73
GTP,10,51
Colinas,9,42
"Advance Guadalajara",10,48
"Ave Independencia",11,55
"CPA SMO",3,13
Independencia,11,56
"El Peral Logistics Park",3,13
"Prologis Alamar",13,68
"Prologis Park Tres Rios",3,13
"Los Fuentes",11,54
"IGS Independencia",11,56
"Convento City Park",3,18
"Vynmsa Airport Apodaca",5,25
"Sendai Industrial Park",1,5
"Vesta Lagoeste",13,64
"Monterrey Park I",5,27
"Finsa Independencia II",11,55
"Odonnel Puente Mexico",3,13
"Los Bravos",11,56
"Pueblo Nuevo",5,25
"San Jorge",10,48
"Apodaca II",5,25
"MPA Otay",13,68
"Kalos Miguel Aleman",5,25
"Paseo de la Victoria",11,53
"Puebla 2000",7,34
"El Sabinal",5,25
Otay,13,68
"Chihuahua Industrial Complex",6,32
"Vesta Park Juarez",11,56
"Prologis Alamo",3,22
"Crossroads Industrial Park",5,26
"Amistad Celaya Sur",1,1
"Rio Bravo",11,53
"Rivera Lara",11,52
"AI Kimco",6,32
"Zaragoza Industrial Area",11,56
"Potros Industrial",13,67
"Bafar Sur",6,32
"Stiva Airport",5,25
"Intermex North",6,32
"Ciudad Industrial Otay",13,68
"Mielnium Santa Catarina",5,31
"Apodaca I",5,25
"Reynosa North",14,73
"Vesta Morelos",13,63
"Reynosa South",14,73
Cuadritos,1,1
"Kalos Encarnacion III",5,25
"Amistad Ramos Arizpe",8,40
"Ridge Commer Center",14,73
"Flexpar Apodaca",5,25
"Frisa Santa Catarina",5,31
"Av. Zacate Blanco",11,56
Adhoc,5,27
"Los Palmares",4,24
"El Nacional",5,26
"Odonnel El Puente",3,13
"AI Independencia",11,55
"Amistad Apaseo",1,1
"Amistad Chuy Maria",1,1
"Bellas Artes",13,68
Guadalupe,5,28
"AI Huinala Las Americas",5,25
"VEP II",5,27
"Intermex Carolina",10,51
"El Marques Bajio",1,1
"Vesta Park Juarez I",11,56
"Finsa Independencia",11,55
"Blvd Independencia",11,56
"Chuy Maria Ramos Arizpe",8,40
"Amistad Morelos",8,40
"Davisa Arteaga",8,38
"Sanmo III",3,13
"BTSD Sabino",3,18
"Parque Intermodal Huehuetoca",3,14
"Prologis Laurel",3,13
"Tlanepark II",3,19
"Prologis Fresnos",3,22
"Advance Aeroperto",2,7
"Internacional Tijuana",13,68
"Vesta Park Tijuana III",13,64
Mielnium,9,44
"Panorama Industrial",10,48
"El Salto Park 1",10,48
"Blvd Independencia Sur",11,55
Cadena,13,67
Hofusan,5,26
"Martel Santa Catarina II",5,31
WPC,3,13
"Prologis Park El Florido",13,64
"Vesta Park Queretaro",2,7
"Vesta Park Jaurez 1",11,56
"Prologis Park El Grande",3,18
"Los Pinos",13,66
"Upsite Park",13,64
"Milenium Center Park",5,25
Cardinal,5,30
"Vesta Park Puebla",7,34
"Vesta Park Alamar",13,68
"Vesta Guadalajara",10,48
"Vesta Juarez",11,56
"Industrial Sur",6,33
"WTC II",9,47
"Poligono Empresarial",2,9
"PIT 3",10,50
"Colinas Apaseo",1,1
"Valle Alto",14,73
"Vesta Rosarito",13,69
"Vesta Park Lagoeste",13,64
"Server San Luis",9,43
"Prologis Alamos",3,22
"CPA Logistics Center ADN",5,26
"Nexxus Apodaca Airport",5,25
"Alianza Derramadero",8,39
"Campus RMSG Alamar",13,68
"Guadalajara Industrial Park",10,48
"Pocket Park Escobedo",5,27
"Ave. Aeronautica",11,57
"Aros Industrial Park",5,25
"Pacifico II",13,67
"Nexxus ADN II",5,26
"Savy ParkI V",5,25
"Diamante II Cienega de Flores",5,26
"Kalos Santa Catarina",5,31
"Poniente Industrial Park",10,51
"Prologis Jalisco",10,50
"Tesistan III",10,51
"361 Pocket Park",8,40
"Salva Industrial Park",8,39
"Cd Juarez",11,52
Southpark,11,56
"Polygroup Campus",11,56
"Los Olivos",13,64
"Diroma Paraiso",13,64
"Otay Ciudad Industrial",13,68
"Camino Viejo",13,62
"Bafar Tecnologico",6,33
"Eje Juan Gabriel",11,52
OffPark,11,54
Altavista,11,54
"Vesta Park Juarez Sur",11,56
Axial,11,57
"Colinas de Lagos",1,3
"Finsa Iztapalapa",3,15
"Advance Tepotzotlan",3,18
Escala,10,50
"Pinar Empresarial",10,51
"Prologis Park Agave",3,13
"Logicenter Cuautitlan El Sabino",3,13
"San Martin Obispo I",3,13
"San Martin Obispo II",3,13
"La Joya Park",3,13
"BTSD Cuautitlan",3,13
"San Jose Park IV",3,18
"MicroPark La Teja",3,18
"Tlanlnepark II",3,19
"City Park",3,19
Ecopark,10,51
"Vesta Pacifico",13,67
"Cadena La Encantada",13,64
"Axial Industrial Park",11,57
"Benito Juares",2,9
"El Salto Park II",10,48
"Amistad Aeropuerto",8,40
"MicroPark Escobedo",5,27
"Parque Opcion",2,9
"El Castillo",10,48
"Pozo Encino",13,64
"El Bajio",13,70
Upsite,13,64
"Vesta Puebla Park",7,34
Tepotzopark,3,18
"Wold Park Tultitlan",3,22
"Wold Park Tlalnepantla",3,19
"Prologis Park Mezquite",3,13
"Logicenter Cuautitlan Xhala",3,13
"TulePark 1",3,22
"Kalos Apodaca Santa Rosa",5,25
"American Industries Apodaca",5,25
"Ave. Las Torres",11,56
"Stiva Alcala",14,71
"Vallejo Park 2000",3,11
AzcapoPark,3,11
"Puente Grande Park",3,13
"Coacalco Park",3,13
"Tepozpark II",3,19
"Tlalnepark II Lago II",3,19
"RMSG Alamar",13,68
"Ave Tecnologico",11,52
"El Lago",13,68
"Finsa Santa Catarina I",5,31
"Ave. Troncoso",11,56
"Davisa Artega",8,38
"Complejo Industrial Victor Hugo",6,32
"Fibra Prologis",11,57
"Gema I",11,52
"La Laguna",3,13
"CPA Logistics Center SMO",3,13
"Tule 2",3,22
"CPA Tlalnepantla Logistic Center",3,19
"Odonnell Queretaro",2,7
"Amistad Saltillo Sur",8,41
"Millennium San Luis Potosi",9,44
"Independencia 1",11,56
"Talamas Calamandari",11,57
"Vesta Alamar",13,68
Arteaga,8,38
"Prologis Industrial Center",11,57
"Upsite Juarez Park I",11,56
"Parque Norte",13,64
"Chuy Maria",1,1
"Vesta Park Tlaxcala",7,37
"Nexxus Airport",5,25
Airport,10,48
"Finsa SMO",3,13
"Vallejo Park",3,11
"SMO 1",3,13
"SMO 3",3,13
"Tlanepark II Lago III",3,19
"Tule Park I",3,22
HubsPark,13,64
RICSA,14,73
"Vesta Park El Florido",13,64
Impulso,6,32
"AI Apodaca I",5,25
"Nexxus ADN 2",5,26
"SMO III",3,13
Convento,3,18
"CPA Logistic Center El Conbento",3,18
"Queretaro Industrial Park IV",2,9
Queretaro,2,9
"Areya Guadalupe",5,28
Zaragoza,11,53
"Southpark II",11,56
"Gema II",11,52
Troncoso,11,56
"Intermex Mar de Plata",11,57
"Flexpark El Salto",10,48
"CPA Corregidora",3,13
"Puente Mexico",3,13
"Panorama Cuautitlan",3,13
"World Park Tlalnepantla II",3,19
"Horizon Industrial Park",13,63
"La Capilla",10,48
"Alamo Business Park",10,50
"Prologis El Bosque",10,48
"Santa Rosa",10,50
Nogales,10,51
"San Angel",10,51
"Stiva Apodaca Airport",5,25
"World Park Tultitlan",3,22
"Corporativo Tlalnepantla",3,19
"Vynmsa Gto",1,2
"Cardinal Business Park",5,30
"LA Puerta",5,31
"Agua Fria",5,25
"Rail Center",15,76
"Nelson II",12,58
"El Salto Park III",10,48
Axis,10,48
"Via 85",5,25
65-910,5,31
"Panorama Nodin",3,13
"Yucatan Industrial Park",20,86
"Pharr East",14,73
"Cadena Logistic Park",12,59
"El Vigia II",12,58
Sendero,12,59
Cachanilla,12,58
"Pimsa VIII",12,60
"Pimsa IV",12,60
Colorado,12,61
"El Desierto",12,59
"Sigo XXI",12,60
Cambridge,12,60
"Centro Logistico Hermosillo",12,59
InQbate,12,61
Geminis,11,56
"Independencia II",11,56
Intermex,11,56
"Prologis East",5,25
Electrolux,11,55
"Omolap Los Pinos",5,25
"Mar de Plata",11,56
"Poligino Empresarial",2,9
Cantera,2,7
"Diamante Cienega de Flores III",5,26
Kampus,10,48
"Vesta Park Guadalajara",10,48
"Prologis Park Olmo",3,13
"Intermodal Huehuetoca",3,14
"SMO I",3,13
"Tepozpark V",3,18
Teolopark,3,18
"Roca Tlalnepantla Park",3,19
"Tlalnepantla Logistic Center",3,19
"Tule Park III",3,22
"Premium Park Tultepec  II",3,22
Realito,13,64
"Chuy Maria Coahuila",8,40
"Vynmsa Miguel Aleman",5,25
"Independencia 2",11,56
"Amistad Sur",1,1
"WTC 2",9,47
"Centro Logistico Jalisco",10,49
"Prologis Park El Grande (Exp)",3,18
"Finsa II",2,7
"Prologis El Salto",10,48
"Reynosa Industrial Center",14,73
"Puerto Interior (SF III)",1,6
"San Miguel Obispo",3,13
"Finsa Independencia I",11,56
"Marabis Abasolo",1,1
"Nexxus AND 2",5,26
"Packet Park Escobedo",5,27
"San Francisco IV",16,77
"Centro Logistico",10,49
"Pesma II",2,9
"Martel III",5,31
Reynosa,14,73
"El Peral Logistic Park",3,13
"Las Torres Industrial Area",11,56
"WTC Industrial Park",9,47
"Las Colinas Industrial Park",9,42
"Vynmsa Gto Industrial Park",1,2
"Stiva Apodaca Industrial Park",5,25
Cuatipark,3,13
"Las Colinas Silao Industrial Park",1,6
"Kronos Industrial Park",5,25
"Arteaga Industrial Park",8,38
"Guadalajara Park",10,48
"Parque Tecnológico Innovación Querétaro",2,8
"Intermex North Industrial Park",6,32
"Guanajuato Industrial Center",1,2
"Tule Park 2",3,22
Seica,10,48
Stiva,1,4
Copachisa,5,26
Finsa,8,40
CYS,1,4
"Nuevo Santander",14,73
N/a,9,43
"Garza Ponce",5,26
Bilden,5,25
Vynmsa,5,25
"Roca Desarrollos",11,57
"Savy Park I",5,25
VAIP,5,28
"Stiva Reynosa",5,25
"Las Torres Ave.",11,56
Torresol,11,55
"Miguel de la Madrid Ave.",11,56
Alveo,10,48
"Indrial Zone",10,50
"Industrial Gate Alamar",13,68
"Atisa Toyota",13,64
"Independencia II Sur",11,56
"Celaya Amistad",1,1
"Logicenter Puente Grande",3,13
"South Chihuahua",6,32
"ADN Logistic Center",5,26
"Tlanepark IV",3,19
"CuautiPark II",3,13
"Aerospace Querataro",2,7
"Multiparque Escobedo",5,27
"Tule Park 1",3,22
"CPA Logistics Center El Convento",3,18
"Finsa Iztapaluca",3,15
"Tepotzotlan Park",3,18
"Tlalnepark II Lago III",3,19
"El Salto Park I",10,48
Senecu,11,54
"Finsa Santa Carina II",5,31
"Prologis Parl Laurel",3,13
CIJ,11,57
"CPA Logistic Center El Convento",3,18
"Vesta Independencia",11,56
"HubsPark Tijuana",13,64
"Vesta Park Juarez Oriente",11,53
"Libramiento 3",5,27
"RMSG Juarez",11,56
Fundadores,8,38
"Hub Park Juarez",11,55
Condesa,12,59
"Via Verte 3.0",12,61
InQnbate,12,61
"Calafia II",12,60
"Ex XXI",12,60
Tecate,13,70
"Apodaca Park",5,25
"Prologis Park Grande",3,18
"Kalos Apodaca",5,25
"Vesta Park Rosarito",13,69
Pinar,10,51
"Vynmsa Puerto Interior",1,6
"Finsa Nuevo Laredo Poniente",15,75
"Industrial Rail Center",15,75
"Aliah El Salto",10,48
"M3 Park Apidaca",5,25
"Carza Dulces Nombre",5,25
"Avante Aeropuerto Sur",5,25
"Escobedo 3",5,27
"Martel Santa Catarina III",5,31
"Las Nubes",20,86
"Valle de Puebla",12,60
"Stiva Jaral",5,27
Roots,5,30
"Vynmsa Ramos Arizpe III",8,40
"Roca Indeoendencia",11,56
"Parque Queretaro",2,9
Aerospace,2,7
Aeropuerto,2,7
"Lagos de Moreno",1,4
"Puerto Interior Santa Fe III",1,6
"GIC & VILLAGRAN",1,1
"American Industries II",11,56
"Prologis Pahrr",14,73
"Monterrey Industrial Center",5,25
"Mendel Arteaga",8,38
"Laguna Industrial Park",18,81
Lajat,18,82
"Las Americas",18,82
"Talamas Park I",11,55
"Vesta Park Apodaca",5,25
"Roca Independencia",11,55
"CPA Logistic Center Corregidora",3,13
"Finsa Queretaro",2,7
Mercatus,7,34
Xtra,10,48
"La Joyas",5,26
"Vynmsa Ramos Arizpe II",5,25
"Prologis Park Pharr Bridge",14,73
"Arteaga II",8,38
"AI Apodca II",5,25
"Florido Olivos",13,64
Imaq,13,68
"El Salto II",10,48
"Centro Logistico Bajio",1,1
"Sologis Escobedo",5,27
"Valle Sur",13,68
Tecnopark,16,77
